key,ru,uz,kaa
settings.title,Настройки,Sozlamalar,Sozlamalar
settings.appearance,Внешний вид,Kirish ko‘rinishi,Kirish ko‘rinishi
settings.theme,Тема интерфейса,Interfeys mavzusi,Interfeys mavzusi
settings.theme_desc,Выберите стиль интерфейса,Interfeys uslubini tanlang,Interfeys uslubini tanlang
settings.localization,Локализация,Joylashuv,Joylashuv
settings.language,Язык,Til,Til
settings.language_desc,Выберите язык интерфейса приложения,Dastur interfeysi uchun tilni tanlang,Dastur interfeysi uchun tilni tanlang
choose_language,Выберите язык,Tilni tanlang,Tilni tanlang
select_language,Выберите язык,Tilni tanlang,Tilni tanlang
Admin Panel,Панель администратора,Administrator paneli,Admınıstrator paneli
applications,Заявки,Arizalar,Arizalar
manageTrack,Управляйте и отслеживайте все заявки.,Barcha arizalarni boshqaring va kuzating.,Barlıq arizalardı basqarıń hám qadaǵalań.
searchPlaceholder,Поиск заявок...,Arizalarni qidiring...,Arizalardı izlew...
notCompleted,Не завершено,Tugallanmagan,Toliq emes
pending,В ожидании,Jarayonda,Jarayonda
sentToOrgan,Отправлено в организацию,Tashkilotga yuborilgan,Táskilatqa jiberilgen
completed,Завершено,Tugallangan,Toliq bolǵan
review,На рассмотрении,Ko‘rib chiqilmoqda,Qarap shıǵılmaqta
accepted,Принято,Qabul qilingan,Qabıl etilgen
adminApproval,Одобрение администратора,Administrator tasdig‘i,Admin tastıyıǵı
returnedToOrgan,Возвращено в организацию,Tashkilotga qaytarilgan,Táskilatqa qaytarılǵan
expiredClosed,Истек срок / Закрыто,Muddati o‘tgan / Yopilgan,Mánzili ótken / Jabılǵan
loading,Загрузка заявок...,Arizalar yuklanmoqda...,Arizalar júklenip atır...
failed,Не удалось загрузить заявки. Повторите попытку позже.,Arizalarni yuklab bo‘lmadi. Keyinroq urinib ko‘ring.,Arizalardı júklew múmkin emes. Keyin qayta urınıń.
noApps,Заявки не найдены.,Arizalar topilmadi.,Ariza tabılmadı.
applicantName,Имя заявителя,Ariza beruvchi,Ariza beriwshi
phone,Телефон,Telefon,Telefon
status,Статус,Holati,Háli
submittedDate,Дата отправки,Yuborilgan sana,Jiberilgen sánesi
applicationId,ID заявки,Ariza ID raqami,Ariza ID nomeri
welcome_back,Добро пожаловать,Xush kelibsiz,Xosh keldiń
signin_to_account,Войдите в свой аккаунт,Profilingizga kiring,Profilıńe kirıń
username,Имя пользователя,Foydalanuvchi nomi,Paydalanıwshı atı
password,Пароль,Parol,Parol
remember_me,Запомнить меня,Eslab qolish,Estep qalıw
forgot_password,Забыли пароль?,Parolni unutdingizmi?,Parolıńızdı umıtıp qaldıńız ba?
login,Войти,Kirish,Kiriw
logging_in,Вход...,Kirilmoqda...,Kiriw atında...
fill_all_fields,"Пожалуйста, заполните все поля","Iltimos, barcha maydonlarni to‘ldiring",Barlıq orınlardı toldırıń
login_success,Вход выполнен успешно!,Kirish muvaffaqiyatli!,Kiriw sátti ótildi!
login_failed,Ошибка при входе,Kirishda xatolik yuz berdi,Kiriwde qátelik júz berdi
organ_panel,Панель организации,Organ paneli,Organ paneli
page_not_found,Страница не найдена,Sahifa topilmadi,Bet tabılmadı
page_not_found_description,"Страница, которую вы ищете, не существует или была перемещена",Siz izlayotgan sahifa mavjud emas yoki ko‘chirib yuborilgan,Siz izlep atırǵan bet joq nemese jyljıtılǵan
return_to_dashboard,Вернуться на главную,Asosiy oynaga qaytish,Bas betke qaytıw
all_rights_reserved,Все права защищены,Barcha huquqlar himoyalangan,Barlıq huqıqlar qórǵalǵan
applications,Заявки,Arizalar,Arızalar
